Name,Device ID,Scheduled Time,Issued Time,Response Time,Duration (seconds) from scheduled to completion time,Duration (seconds) from first response to completion time,[3_CAL] Geboortedatum:,[4_SAQ] Geslacht:
60398,20ff1bef7de08234,2022-09-27 22:25:30 CEST,2022-09-27 22:25:30 CEST,2022-09-27 22:27:37 CEST,127.601,84,12/11/1989,2
60404,FFAFC09188354963A3CC6EABEE04DC1F,2022-09-28 09:05:19 CEST,2022-09-28 09:05:19 CEST,2022-09-28 09:12:13 CEST,414.175,45,18/12/1988,2
60431,F23E9B20500A4B0B8175B98A26CBCFD5,2022-09-28 21:20:21 CEST,2022-09-28 21:20:21 CEST,2022-09-28 21:24:20 CEST,238.506,211,10/12/1990,1
60478,8ac1f7b0b58dc480,2022-09-30 13:26:10 CEST,2022-09-30 13:26:10 CEST,2022-09-30 13:27:51 CEST,100.713,46,22/09/1993,2
60479,d322cf7c60df571c,2022-09-30 13:42:11 CEST,2022-09-30 13:42:11 CEST,2022-09-30 13:52:58 CEST,646.612,79,21/12/1991,1
60482,35B642A8EDF74DEA90FA70FABAC5DEA4,2022-09-30 15:37:07 CEST,2022-09-30 15:37:07 CEST,2022-09-30 15:45:27 CEST,500.731,64,21/02/1992,1
60489,E850A8D448724CE59A3102E23F1673AA,2022-09-30 16:29:12 CEST,2022-09-30 16:29:12 CEST,2022-09-30 16:33:54 CEST,282.248,72,14/01/1991,2
60502,6efd145c3c0736ef,2022-09-30 21:38:51 CEST,2022-09-30 21:38:51 CEST,2022-09-30 21:51:58 CEST,787.211,61,05/09/1992,1
60506,a16ba0953083946d,2022-10-01 09:51:04 CEST,2022-10-01 09:51:04 CEST,2022-10-01 10:01:12 CEST,607.889,87,18/11/1987,2
60507,78a0a5ed58233a37,2022-10-01 10:29:07 CEST,2022-10-01 10:29:07 CEST,2022-10-01 10:35:20 CEST,373.029,73,18/11/1987,2
60513,9156d1156c2ecd42,2022-10-01 23:34:11 CEST,2022-10-01 23:34:11 CEST,2022-10-01 23:38:18 CEST,247.032,93,26/04/1988,1
60516,A0F40682F66C4E13BFE6CFCAFC8CBAF4,2022-10-02 15:55:57 CEST,2022-10-02 15:55:57 CEST,2022-10-02 16:00:23 CEST,265.896,70,05/03/1991,2
60526,1325AFEE018E44A88AA9342F8AEF82B9,2022-10-03 10:54:27 CEST,2022-10-03 10:54:27 CEST,2022-10-03 10:56:17 CEST,109.928,63,06/02/1987,2
60527,8FCDD2A6C5B54F0D8178DEED24B3D3C0,2022-10-03 12:03:15 CEST,2022-10-03 12:03:15 CEST,2022-10-03 12:04:36 CEST,80.697,45,15/05/1991,2
60532,b3b8ab9192967d21,2022-10-03 13:22:48 CEST,2022-10-03 13:22:48 CEST,2022-10-03 13:25:17 CEST,149.296,47,07/03/1984,1
60534,D7338A5FB2BD403097C93D91B27B3451,2022-10-03 13:58:02 CEST,2022-10-03 13:58:02 CEST,2022-10-03 13:59:28 CEST,85.921,54,13/09/1996,2
60535,6bd3bdf5a571f831,2022-10-03 14:14:04 CEST,2022-10-03 14:14:04 CEST,2022-10-03 14:16:39 CEST,155.394,107,18/09/1992,1
60538,9A3F357FB37B44D1B0077810341DB5D4,2022-10-03 16:52:52 CEST,2022-10-03 16:52:52 CEST,2022-10-03 16:56:37 CEST,224.985,64,15/03/1996,2
60539,87b673ea5e39915d,2022-10-03 17:17:08 CEST,2022-10-03 17:17:08 CEST,2022-10-03 17:32:56 CEST,948.113,70,14/09/1993,2
60545,e5ed13800aad70b6,2022-10-03 20:50:18 CEST,2022-10-03 20:50:18 CEST,2022-10-03 21:00:58 CEST,639.799,61,05/03/1991,2
60550,c51fe19458cd34a3,2022-10-04 06:37:55 CEST,2022-10-04 06:37:55 CEST,2022-10-04 06:45:40 CEST,464.944,57,30/08/1988,2
60561,DE7B506015DB455FB3BA7E5349817EB3,2022-10-04 11:25:44 CEST,2022-10-04 11:25:44 CEST,2022-10-04 11:31:36 CEST,351.035,59,17/09/1993,2
60565,f93889a207f87e58,2022-10-04 12:43:28 CEST,2022-10-04 12:43:28 CEST,2022-10-04 12:47:15 CEST,226.659,43,18/03/1996,2
60566,7FF5A5E7E29C493DB9308E4012BE9454,2022-10-04 13:09:36 CEST,2022-10-04 13:09:36 CEST,2022-10-04 13:11:43 CEST,126.725,65,12/03/1984,2
60567,96F1CD3533E6477DA1416C2D1D485ACA,2022-10-04 13:29:51 CEST,2022-10-04 13:29:51 CEST,2022-10-04 13:31:47 CEST,116.675,67,12/01/1988,2
60569,129ddc66bf6f091f,2022-10-04 15:09:15 CEST,2022-10-04 15:09:15 CEST,2022-10-04 15:20:17 CEST,661.464,121,30/08/1988,2
60570,3AECA95965D1461AB5E99252114BF8F8,2022-10-04 09:39:23 AST,2022-10-04 09:39:23 AST,2022-10-08 10:06:09 AST,347205.281,52,12/01/1988,2
60576,b2db2e84a22c22aa,2022-10-04 18:10:33 CEST,2022-10-04 18:10:33 CEST,2022-10-04 18:17:29 CEST,415.833,113,11/10/1983,1
60577,4622a344caac11d7,2022-10-04 18:17:23 CEST,2022-10-04 18:17:23 CEST,2022-10-04 18:24:51 CEST,448.736,104,06/08/1992,1
60582,29a95ebd4818103e,2022-10-04 18:46:35 CEST,2022-10-04 18:46:35 CEST,2022-10-04 18:49:03 CEST,148.224,71,01/05/1989,2
60605,5d5969cc2d7420d2,2022-10-04 19:15:45 CEST,2022-10-04 19:15:45 CEST,2022-10-04 19:20:45 CEST,299.997,80,27/08/1985,2
60637,8a41e9f16a971bdb,2022-10-05 13:43:17 CEST,2022-10-05 13:43:17 CEST,2022-10-05 14:07:29 CEST,1452.014,59,01/10/1983,2
60638,9492fd59c715b570,2022-10-05 13:47:05 CEST,2022-10-05 13:47:05 CEST,2022-10-05 13:52:27 CEST,322.48,106,24/04/1992,2
60639,12D37615414D499A9D488012147A92D2,2022-10-05 13:53:18 CEST,2022-10-05 13:53:18 CEST,2022-10-05 13:55:57 CEST,158.224,72,15/06/1987,2
60643,d4a2832c6ac64092,2022-10-05 17:11:31 CEST,2022-10-05 17:11:31 CEST,2022-10-05 17:15:01 CEST,210.386,46,13/12/1993,2
60645,70C66F8468F34E298C84BBE39CED4026,2022-10-05 19:10:37 CEST,2022-10-05 19:10:37 CEST,2022-10-05 19:15:36 CEST,299.594,80,23/02/1984,2
60646,c222b8eeef5b89aa,2022-10-05 19:14:22 CEST,2022-10-05 19:14:22 CEST,2022-10-05 19:15:50 CEST,87.795,41,14/09/1991,2
60650,ECEE439906614C498EB4B0289D67453E,2022-10-05 19:55:33 CEST,2022-10-05 19:55:33 CEST,2022-10-05 19:58:48 CEST,195.048,106,06/02/1987,2
60651,4bfc17e10cc4e726,2022-10-05 21:26:29 CEST,2022-10-05 21:26:29 CEST,2022-10-05 21:28:44 CEST,135.156,77,27/02/1996,2
60662,8a274bbecd2e09ce,2022-10-06 10:15:43 CEST,2022-10-06 10:15:43 CEST,2022-10-06 10:22:54 CEST,431.537,85,10/01/1995,1
60672,66FF807FAE0240B4A713DBDFAFF8E626,2022-10-06 14:18:11 CEST,2022-10-06 14:18:11 CEST,2022-10-06 14:19:50 CEST,99.495,52,11/07/1991,1
60674,afb2d29ecbb3b7b5,2022-10-06 15:16:09 CEST,2022-10-06 15:16:09 CEST,2022-10-06 15:21:27 CEST,317.463,63,19/12/1992,2
60691,22c2394dbd111a4e,2022-10-06 16:46:00 CEST,2022-10-06 16:46:00 CEST,2022-10-06 16:47:39 CEST,99.449,56,23/04/1996,1
60718,25a5a961ce6ffa58,2022-10-06 18:26:49 CEST,2022-10-06 18:26:49 CEST,2022-10-06 18:29:55 CEST,185.501,59,27/12/1988,2
60719,7257d260ed78b8ce,2022-10-06 19:42:59 CEST,2022-10-06 19:42:59 CEST,2022-10-06 19:55:07 CEST,727.71,74,22/04/1987,2
60745,ecdb4e7e1c05c8da,2022-10-07 09:14:28 CEST,2022-10-07 09:14:28 CEST,2022-10-07 09:53:39 CEST,2350.938,105,18/10/1996,2
60752,1b18dbce924072a2,2022-10-07 13:25:58 CEST,2022-10-07 13:25:58 CEST,2022-10-07 15:36:58 CEST,7859.732,59,12/02/1990,1
60754,1D82AA773A6C4294A476DF412084CA71,2022-10-07 13:57:19 CEST,2022-10-07 13:57:19 CEST,2022-10-07 17:01:33 CEST,11053.77,50,12/09/1995,2
60803,55C618B444C14588A95A55986220CD30,2022-10-07 22:57:19 CEST,2022-10-07 22:57:19 CEST,2022-10-07 23:12:14 CEST,894.554,90,22/01/1996,2
60812,57a34f0818c14379,2022-10-08 10:12:50 CEST,2022-10-08 10:12:50 CEST,2022-10-08 10:19:57 CEST,426.177,80,04/04/1996,1
60813,2814b583a373bf6d,2022-10-08 12:01:08 CEST,2022-10-08 12:01:08 CEST,2022-10-08 12:10:37 CEST,569.445,67,24/04/1992,2
60814,5625c57e1e1d923e,2022-10-08 12:18:03 CEST,2022-10-08 12:18:03 CEST,2022-10-08 12:20:25 CEST,141.773,51,17/01/1990,2
60837,68ad69f30fd1ff84,2022-10-09 17:29:29 CEST,2022-10-09 17:29:29 CEST,2022-10-09 17:32:59 CEST,Canceled,Unknown,,
60848,A96EDD5AB88945478A924EAA9F33B972,2022-10-10 10:34:27 CEST,2022-10-10 10:34:27 CEST,2022-10-10 10:37:21 CEST,173.835,63,12/06/1996,2
60852,ba054e7b0aae3f38,2022-10-10 13:16:16 CEST,2022-10-10 13:16:16 CEST,2022-10-10 13:17:49 CEST,93.399,57,14/11/1996,1
60853,0e64f534fcc2521d,2022-10-10 13:42:56 CEST,2022-10-10 13:42:56 CEST,2022-10-10 13:51:41 CEST,525.519,55,21/03/1996,1
60854,D00BA2397C404942AF283F176EE60F1F,2022-10-10 14:14:59 CEST,2022-10-10 14:14:59 CEST,2022-10-10 14:18:10 CEST,191.4,86,19/03/1987,2
60856,C665255F8C94494987846B534D28EF0B,2022-10-10 15:24:54 CEST,2022-10-10 15:24:54 CEST,2022-10-10 15:28:42 CEST,227.369,52,02/10/1996,2
60858,08fcd41958a5b80c,2022-10-10 16:54:51 CEST,2022-10-10 16:54:51 CEST,2022-10-10 17:48:06 CEST,3195.016,1836,04/09/1996,1
60859,a9e36aef8810d780,2022-10-10 17:12:38 CEST,2022-10-10 17:12:38 CEST,2022-10-10 17:15:11 CEST,153.053,80,04/09/1996,1
60860,3419100632E8478BB565FFDEBB5D162E,2022-10-10 17:41:38 CEST,2022-10-10 17:41:38 CEST,2022-10-10 17:43:37 CEST,118.773,81,15/11/1996,2
60865,a2e7caf5d2003f0f,2022-10-10 19:16:52 CEST,2022-10-10 19:16:52 CEST,2022-10-10 19:25:03 CEST,491.13,67,27/08/1993,1
60870,A4D98599067E4FEF955A51D97C0E1523,2022-10-10 22:58:01 CEST,2022-10-10 22:58:01 CEST,2022-10-10 23:00:52 CEST,171.323,103,26/03/1996,2
60882,03aba62fa1fae82a,2022-10-11 09:46:28 CEST,2022-10-11 09:46:28 CEST,2022-10-11 09:57:07 CEST,638.851,84,13/04/1987,1
60889,daca92c557aa405d,2022-10-11 11:00:34 CEST,2022-10-11 11:00:34 CEST,2022-10-11 11:07:36 CEST,422.219,52,16/12/1992,2
60893,31C6E008609C42AC89835B6180438619,2022-10-11 12:12:48 CEST,2022-10-11 12:12:48 CEST,2022-10-11 12:14:27 CEST,98.819,69,27/10/1988,2
60898,68E5616E852C4703AE602B65B252282A,2022-10-11 14:45:43 CEST,2022-10-11 14:45:43 CEST,2022-10-11 14:50:34 CEST,290.893,49,24/05/1986,1
60900,0D8454AEFFCA4E499E6C1A910F041523,2022-10-11 15:02:17 CEST,2022-10-11 15:02:17 CEST,2022-10-11 15:08:08 CEST,351.007,44,05/07/1990,2
60911,AC9A9D0F40904688A011F112304DA7E2,2022-10-11 18:57:00 CEST,2022-10-11 18:57:00 CEST,2022-10-11 19:12:22 CEST,922.432,879,23/10/1995,2
60913,A491592F178D432BB200EA0A93B356B9,2022-10-11 20:16:15 CEST,2022-10-11 20:16:15 CEST,2022-10-11 20:20:54 CEST,279.111,54,31/05/1996,1
60915,07690330E09E4778B5C3AC32B677A685,2022-10-11 20:48:32 CEST,2022-10-11 20:48:32 CEST,2022-10-11 20:58:59 CEST,627.597,53,12/09/1996,2
60981,71DF7C5915F44BD1842A5C67F0BEA8B4,2022-10-12 07:06:14 CEST,2022-10-12 07:06:14 CEST,2022-10-12 07:10:51 CEST,277.479,64,04/07/1996,1
60984,e6f22bf84c60f5d7,2022-10-12 11:03:34 EEST,2022-10-12 11:03:34 EEST,2022-10-12 11:29:05 EEST,1531.661,1420,03/09/1990,2
60985,87797D6917BA4AA7942B52BC55C6D000,2022-10-13 07:33:52 CEST,2022-10-13 07:33:52 CEST,2022-10-13 07:35:26 CEST,94.361,51,13/11/1996,1
60986,BDE83C44FB864C46931EEA5DB33F8599,2022-10-12 12:30:55 CEST,2022-10-12 12:30:55 CEST,2022-10-12 14:35:41 CEST,7486.444,61,19/11/1988,2
60987,738cc91a31157252,2022-10-12 12:34:24 CEST,2022-10-12 12:34:24 CEST,2022-10-12 12:37:54 CEST,209.906,57,01/08/1996,2
60989,73d52f13e57e0c27,2022-10-12 12:43:33 CEST,2022-10-12 12:43:33 CEST,2022-10-12 12:48:39 CEST,306.243,98,28/08/1987,1
60990,3C435CFDE70E4A2990D9BF55FE7629E4,2022-10-12 13:38:29 CEST,2022-10-12 13:38:29 CEST,2022-10-12 13:40:09 CEST,99.693,55,01/04/1990,2
60993,4fad611190cc1775,2022-10-12 13:53:56 CEST,2022-10-12 13:53:56 CEST,2022-10-12 13:56:10 CEST,133.314,66,19/08/1989,2
60998,271f1ee0bb4982a4,2022-10-12 17:13:13 CEST,2022-10-12 17:13:13 CEST,2022-10-12 17:20:17 CEST,424.413,46,13/03/1990,2
60999,29F5B90ADAC04F61A5BE0042DC282AEF,2022-10-12 18:46:56 CEST,2022-10-12 18:46:56 CEST,2022-10-12 18:51:30 CEST,274.116,51,09/01/1996,2
61000,E915B5A955554CC288388E660BDC6B96,2022-10-12 18:59:15 CEST,2022-10-12 18:59:15 CEST,2022-10-12 19:05:01 CEST,345.422,82,14/02/1992,2
61005,8de70285fc663462,2022-10-12 21:01:52 CEST,2022-10-12 21:01:52 CEST,2022-10-12 21:06:18 CEST,266.248,48,17/10/1989,2
61006,e43c86322063185a,2022-10-12 21:37:22 CEST,2022-10-12 21:37:22 CEST,2022-10-12 21:44:47 CEST,445.062,59,05/06/1990,2
61021,0f292cf3e82b4e28,2022-10-13 13:52:14 CEST,2022-10-13 13:52:14 CEST,2022-10-13 13:58:06 CEST,352.191,61,21/01/1991,2
61022,00BA8F16B845430AA4F506406F65444F,2022-10-13 15:17:06 CEST,2022-10-13 15:17:06 CEST,2022-10-13 15:19:45 CEST,159.634,107,14/07/1990,2
61024,E16AC7B4CECD4F95A4D43B24DBAD5799,2022-10-13 15:30:55 CEST,2022-10-13 15:30:55 CEST,2022-10-13 15:34:22 CEST,206.765,131,30/01/1996,1
61025,63eb0f61254baa58,2022-10-13 15:48:56 CEST,2022-10-13 15:48:56 CEST,2022-10-13 15:55:12 CEST,375.866,78,19/12/1992,2
61031,225ACE7380854F3A862EA5C63C3996A8,2022-10-13 18:56:18 CEST,2022-10-13 18:56:18 CEST,2022-10-13 19:06:22 CEST,603.314,70,31/05/1996,1
61035,49599B4836D14F0EB23D5AD77C884F08,2022-10-13 19:20:01 CEST,2022-10-13 19:20:01 CEST,2022-10-13 19:25:29 CEST,328.24,102,19/03/1987,2
61038,fab5e55278706720,2022-10-13 20:53:42 CEST,2022-10-13 20:53:42 CEST,2022-10-13 21:04:15 CEST,633.561,79,09/02/1988,2
61067,63479AA0F6CA49B5950AFCBE6573D0A6,2022-10-13 21:49:28 CEST,2022-10-13 21:49:28 CEST,2022-10-13 21:51:38 CEST,129.61,72,15/07/1988,2
61068,FFF56144FFE840D58000C663E7AB504A,2022-10-13 21:49:48 CEST,2022-10-13 21:49:48 CEST,2022-10-13 21:51:33 CEST,105.11,52,04/07/1987,1
61070,0a4392ebd1011c3f,2022-10-13 22:20:07 CEST,2022-10-13 22:20:07 CEST,2022-10-13 22:32:08 CEST,720.135,97,08/05/1996,2
61100,af1d7697b65121e3,2022-10-14 09:34:13 CEST,2022-10-14 09:34:13 CEST,2022-10-14 09:44:01 CEST,587.548,99,02/04/1990,1
61104,0d8ab6556d13b894,2022-10-14 10:01:33 BST,2022-10-14 10:01:33 BST,2022-10-14 10:06:58 BST,325.315,58,12/07/1987,1
61149,AE4F22B6EE4F43B8B746A4BA688163FE,2022-10-16 11:20:35 CEST,2022-10-16 11:20:35 CEST,2022-10-16 11:27:38 CEST,422.821,48,13/12/1988,1
61150,90d92f75b220a8da,2022-10-16 12:20:40 CEST,2022-10-16 12:20:40 CEST,2022-10-16 13:45:49 CEST,5109.329,49,13/06/1987,2
61153,27479325DB4C49479DCFBBAC3BC0BF9F,2022-10-16 20:45:44 CEST,2022-10-16 20:45:44 CEST,2022-10-17 21:35:25 CEST,89381.86,60,10/09/1991,2
61157,03AD72BBEC924797A105C78D096B77F3,2022-10-17 03:38:51 CEST,2022-10-17 03:38:51 CEST,2022-10-17 03:41:27 CEST,155.978,50,10/08/1989,2
61179,402D83F2E5B14406932268DBE2FE8F0F,2022-10-17 13:52:29 CEST,2022-10-17 13:52:29 CEST,2022-10-17 13:54:50 CEST,141.573,89,05/08/1983,1
61180,e75c71c4b7093c3e,2022-10-17 14:25:55 CEST,2022-10-17 14:25:55 CEST,2022-10-17 14:44:25 CEST,1109.845,56,23/11/1984,1
61186,9fe1fef1864a4b3b,2022-10-17 16:25:17 CEST,2022-10-17 16:25:17 CEST,2022-10-17 16:28:29 CEST,192.528,59,07/05/1987,2
61190,532D7DE3936949799B8D5F1D0A600944,2022-10-17 17:22:43 CEST,2022-10-17 17:22:43 CEST,2022-10-17 17:28:29 CEST,345.427,74,04/03/1990,2
61194,11120602AC6647AF948223AD0A9034C5,2022-10-17 18:45:19 CEST,2022-10-17 18:45:19 CEST,2022-10-17 18:53:20 CEST,481.436,62,04/03/1990,2
61196,dcf085d3a81fd343,2022-10-17 19:13:16 CEST,2022-10-17 19:13:16 CEST,2022-10-17 19:20:54 CEST,457.453,60,22/01/1987,2
61212,f8a94d9449252ae9,2022-10-17 19:34:11 CEST,2022-10-17 19:34:11 CEST,2022-10-17 19:53:01 CEST,1130.794,112,25/01/1992,1
61222,96d50b12084b0cf1,2022-10-17 20:48:17 CEST,2022-10-17 20:48:17 CEST,2022-10-17 20:54:49 CEST,392.206,88,01/05/1989,2
61225,D134871FA8444B19810014BCFC2E3694,2022-10-17 21:24:41 CEST,2022-10-17 21:24:41 CEST,2022-10-17 21:26:00 CEST,78.455,44,17/11/1987,1
61226,8FA5DB9B9EB04D0089A0B261340A3603,2022-10-17 21:51:13 CEST,2022-10-17 21:51:13 CEST,2022-10-17 21:58:46 CEST,453.09,101,25/07/1996,2
61227,3d47564968d9b2de,2022-10-17 21:24:17 IST,2022-10-17 21:24:17 IST,2022-10-17 21:37:44 IST,806.928,63,13/03/1990,2
61241,a5b0f61220cda923,2022-10-18 10:46:56 CEST,2022-10-18 10:46:56 CEST,2022-10-18 10:50:04 CEST,187.198,51,07/07/1990,2
61252,0418AEB2FF8641E4A0CAAC7A76886114,2022-10-18 15:27:00 CEST,2022-10-18 15:27:00 CEST,2022-10-18 15:31:26 CEST,266.037,49,18/10/1996,2
61261,79F59BEE17DF4B0B97B976E61FEBD954,2022-10-18 18:58:34 CEST,2022-10-18 18:58:34 CEST,2022-10-18 19:06:22 CEST,468.247,112,30/03/1988,2
61281,6f0330d4fc680a47,2022-10-19 10:35:09 CEST,2022-10-19 10:35:09 CEST,2022-10-19 10:38:53 CEST,224.142,57,15/11/1995,2
61284,83D4DC02FEBD49008649444237FB8188,2022-10-19 11:20:51 CEST,2022-10-19 11:20:51 CEST,2022-10-19 11:27:08 CEST,376.837,62,02/05/1996,1
61292,ebe5e800e5c0a09e,2022-10-19 13:00:20 CEST,2022-10-19 13:00:20 CEST,2022-10-19 13:12:12 CEST,712.123,79,15/07/1996,2
61293,81a64623aa4892ca,2022-10-19 13:04:48 CEST,2022-10-19 13:04:48 CEST,2022-10-19 13:18:26 CEST,818.393,134,15/07/1996,2
61296,f6ca1e44bab540cc,2022-10-19 14:25:04 CEST,2022-10-19 14:25:04 CEST,2022-10-19 16:31:02 CEST,7557.384,50,26/10/1993,1
61297,338fe25893d3e2c6,2022-10-19 14:32:52 CEST,2022-10-19 14:32:52 CEST,2022-10-19 14:34:35 CEST,103.227,42,16/02/1994,2
61298,5de9054a6784631a,2022-10-19 14:35:58 CEST,2022-10-19 14:35:58 CEST,2022-10-19 14:58:18 CEST,1340.401,154,13/11/1994,2
